,inter_sent_economic_activity_x_gdp,inter_sent_financial_conditions_x_vix,inter_sent_labor_market_x_unemployment_gap,inter_sent_monetary_policy_x_implied_ffr,inter_sent_inflation_x_inflation_dev_from_target,inter_sent_macro_x_cfnai
54,-74631.26129202156,-154.2737504139544,-12.033791020288888,-1.3410120672898582,6.967485139611954,-0.005068313851352056
55,-1456.6809921397526,-414.06765851755654,-11.325477583645151,-1.634985062477794,13.481646544983665,-0.25993019270997947
56,-4242.404256602276,-24.614877293445474,-3.3503883322606423,-0.6745236349484363,8.093731098115034,1.2130075659799042
57,-75290.8827660141,-93.28873203531603,-10.874888305076983,-0.8498034246962695,9.162519806123658,-0.4158883083359672
58,-130963.94043171972,-71.5708035005956,-11.297864382082697,-0.7426383883569985,6.507107679341632,-0.07602470777028084
59,23484.622915249925,-80.27363177979757,-1.8971199848858809,-1.1598784424877617,4.658393022899793,-0.12130075659799046
60,62485.1405516085,-86.52764352795813,0.3040988310811231,-0.48620341676387446,0.5069933469811028,0.1078807771694178
61,-116316.3213736786,-110.16218691976216,-2.2161827092753006,-0.7269151698397932,9.565550416325443,-0.08730895400147831
62,-19219.209029518308,-103.78959961078897,0.6931471805599458,-0.2697632181898167,3.419464091239265,-0.1431100440464734
63,-15210.421730207443,-421.2709542555144,0.6719098009605203,-1.5539394458186448,5.663725063185992,-0.17635314428726087
64,24169.195697626248,-73.84899841424702,0.3639022697939711,-0.2799624170668836,3.556669007192188,-0.0
65,-134679.781841866,-96.55765544066824,0.2901543150476569,-0.8507286384279208,10.786351805468799,0.008664339756999316
66,-205842.25078135432,-178.31116645748455,-0.060819766216224716,-0.4304015963651724,2.5257063726905336,0.0
67,-174770.9262613725,-285.30086569705884,-0.46702729638155654,-0.16731315529193824,12.78310625783774,-0.1950131129863435
68,-113324.78984596959,-78.41567912102238,-0.24849066497880004,-0.8187801070364354,7.92277361581071,0.6065037829899521
69,41008.5917050278,-236.81765291000778,0.020273255405408225,-0.6325008544965013,10.976029649599365,0.4062075301653315
70,-33679.489078288934,-227.2029461107644,-0.28428748965622996,-1.4810302894521918,12.336033608151148,0.7259174719898057
71,-129898.12368574178,-431.598422501266,-0.22284377705958863,-4.062272473268913,10.092280025305433,3.315380366431459
72,-98925.34678442153,-155.80841574525382,0.23397527211269803,-2.5228020211770867,1.7937428390082455,-0.3748730073947104
73,22250.602019197515,-198.78721027986066,0.0,-4.245699541097155,7.673041047504139,4.748421225736342
74,-98923.43061881386,-4.951727672076276,0.37601934919406876,-1.6349805156706,4.636627622540159,0.1880096745970343
75,-11222.000106362795,-181.3457339932669,2.7755575615628803e-17,-4.248898921719065,6.91355504080357,-1.2711472685420142
76,-81659.8857499359,22.232695816460247,-0.22396993365350798,-0.7426382146582855,1.0763807575975588,-0.15530666561175002
77,-94356.72940175972,-72.85119280145328,0.5014835425497355,-3.7099483254054944,2.284697312441786,1.01718956316893
78,-136032.7775238776,-242.73690659913524,-0.04358834678619452,-4.005989896488343,1.7695376880614044,1.6688170367671304
79,-150032.333934972,-143.90458510596142,0.7950809947206214,-4.836596386662278,4.372031447303239,-5.805315865647135
80,-45616.26673619314,-63.821035312784616,-0.18253291206468691,-5.682995743912781,6.9303057309077865,0.3119162312519753
81,-5630.532970772279,-14.258805265657971,-0.2780340815507764,-6.712957448274525,7.288612882948281,0.0
82,68672.70389232472,-126.84125142658185,0.022232391646116557,-4.876423798503222,4.476566809502204,0.04864775372638283
83,99648.84321172751,-49.92045907084505,-3.894014574957428,3.740502351187375,3.6632669987636124,0.2643511679964639
84,38278.670129593585,-80.49700900623682,-0.06551403892658461,-5.472077329044835,4.200583719855687,-0.0810930216216329
85,16675.994800103865,-12.641551808060838,-0.2671586802545088,-2.1903127090554495,7.284383935027763,-0.5180816459236601
86,92561.94274850492,-126.26946629483561,-1.5951665574970744,-4.234260229940488,9.606288379075501,-0.7971192576439371
87,59162.61318855076,-11.140339682828381,-6.26561134440438,-2.5980351501467465,1.5338225378695842,-0.3465735902799727
88,73915.52603741914,0.0,-1.5324042423810609,-0.7197005668919921,2.753270142630498,-0.6317020659841632
89,162314.16541572058,-146.252868479844,-3.9767616057090156,12.98022219139978,2.3938728793371173,0.8981733769475521
90,13966.139551096976,-187.66007833969562,-0.6375390144576226,-3.8794090242073875,1.7880517388515438,-0.0
91,72560.99148060688,-137.53098657182605,-6.735155036398076,0.6544767148278013,2.2826853276562113,0.3021183793837302
92,107610.64299233866,-39.164444473473395,-3.1731170357221283,-8.055659896825922,0.8251331864818261,0.0
93,134144.1400742909,-90.20457381436132,-3.578905373909146,14.404800340302476,-0.20222273139576866,-0.05037257551355662
94,62503.0692005812,-286.0724531968967,-6.870789734078059,1.834337133461976,0.382028262517209,0.02432387686319141
95,113167.70020177272,-501.2464597197824,-11.43326009343753,-20.312830294275763,3.251574792954789,0.3820984792890651
96,46268.1657928061,-132.03971871344265,-4.974190478636414,-17.86680426414465,4.445784205017255,2.1834136187638276
97,-235967.65038417032,-26.15214573644747,-2.8822383965543272,-42.02998938192027,8.344103712488305,0.9550153965869206
98,84630.45782694285,-22.503313500003127,-7.975502505096406,-18.789265199303127,10.301359951752469,-0.10691665297540139
99,-304350.78446325636,-254.34266267121154,8.165665880235974,-43.690484598532024,10.702703427793363,-0.42369340333389316
100,-155156.15573244568,-48.45800843360645,-8.131645386264756,-41.76393404262839,11.28719848453859,2.1429782706589906
101,-40119.6119539674,-68.62945809004273,-2.9348494054445204,-24.05898063655511,4.198340878086196,4.808676469051173
102,-104163.46534177534,-197.62596080076779,-3.836968508607161,-16.41888995549388,6.105037364440635,6.4674854724483675
