t,coef_sent_total,ci_lo_sent_total,ci_hi_sent_total
131,-0.007917313291712913,-0.03573743213739049,0.01990280555396466
132,-0.0049127575388292835,-0.03890771506801571,0.02908219999035714
133,-0.006645443308066788,-0.04122610038988552,0.027935213773751945
134,0.005830961707431782,-0.01975935088223063,0.031421274297094196
135,0.009371367385133923,-0.017454383684357706,0.03619711845462555
136,0.023014547446992384,-0.0064179340157416685,0.05244702890972644
137,0.012582349304799012,-0.023770582360204934,0.04893528096980296
138,-0.001535088878056437,-0.0261520074759693,0.023081829719856426
139,-0.002323951851881209,-0.02131033489959161,0.01666243119582919
140,0.001569841739439852,-0.01569715142359758,0.018836834902477284
141,0.005608357207754971,-0.00355405292831122,0.014770767343821161
142,0.005706007530970121,-0.004628991089294789,0.01604100615123503
143,0.0034762971741011048,-0.011798887197128105,0.018751481545330316
144,0.0026143832035758034,-0.012762107084291634,0.01799087349144324
145,0.0019775143297714043,-0.014791186284544056,0.018746214944086865
146,-0.00045017188623119875,-0.018574779930569454,0.017674436158107057
147,-0.0010933561923679655,-0.020570572985350456,0.018383860600614525
148,-0.009994214148368454,-0.030820312707659465,0.010831884410922556
149,-0.005463423466968483,-0.022694905513545485,0.011768058579608519
150,-0.0019188199383635921,-0.01626748298284631,0.012429843106119127
151,0.0006347298964470716,-0.013051000084150118,0.01432045987704426
152,-0.0044610671065398585,-0.014373246316329264,0.005451112103249548
153,-0.0058000920457617075,-0.016707212845999606,0.005107028754476192
154,0.00025368193610310515,-0.007012191640624955,0.007519555512831165
155,-0.0007258508157228574,-0.006891632184801101,0.005439930553355386
156,0.001871433291390591,-0.002931832977087403,0.006674699559868585
157,0.000733444923070762,-0.0076832177481755345,0.009150107594317058
158,0.00017845337792073146,-0.007953784653974635,0.008310691409816098
159,0.0012203808250316056,-0.008711511731442464,0.011152273381505675
160,0.0008255380976247492,-0.007810978557881263,0.009462054753130762
161,0.002605355528585887,-0.005354035965961309,0.010564747023133083
162,0.002937267059194504,-0.0024524199918230264,0.008326954110212035
163,0.002559146321522425,-0.0023076702655076544,0.007425962908552504
164,0.000535940139578174,-0.003042437599759593,0.004114317878915941
165,0.00019416901611191834,-0.007099819654694295,0.007488157686918131
166,0.0003467971421553667,-0.007571007563579401,0.008264601847890135
167,0.00037257977146164245,-0.007671737677301635,0.00841689722022492
168,-0.0005013234313481288,-0.008298193304048775,0.007295546441352516
169,-0.00732969608370581,-0.030724878196067968,0.01606548602865635
170,-0.006899742859218606,-0.030805128824333183,0.01700564310589597
171,-0.006517079962000849,-0.032446355160402694,0.019412195236400996
172,-0.008358394730644807,-0.03365791469169423,0.01694112523040461
173,-0.00042342009528741065,-0.039677101910070386,0.038830261719495565
174,0.00191982590687792,-0.03790766842186731,0.04174732023562315
175,0.0049925076005738755,-0.03567759453668847,0.04566260973783622
176,-0.0004669260195794417,-0.040967707270780036,0.04003385523162115
177,-0.004645606244024242,-0.05428611605887244,0.04499490357082395
178,-0.03168443386205627,-0.08008283832275909,0.016713970598646537
179,-0.036319644214022395,-0.07875609576117906,0.006116807333134279
180,-0.031887905668768035,-0.07269945969562884,0.00892364835809277
181,-0.03091922429102653,-0.0762804649642301,0.014442016382177035
182,-0.02834308000071395,-0.07464740233036013,0.017961242328932224
183,-0.03907272455302309,-0.08117466702559212,0.00302921791954594
184,-0.050055330738774696,-0.08939807116565465,-0.01071259031189474
185,-0.06023195223402762,-0.09653513988253308,-0.023928764585522164
186,-0.060855169385650366,-0.09613046253045943,-0.0255798762408413
187,-0.05146590976052609,-0.10084903967146498,-0.002082779849587199
188,-0.050138979485261345,-0.1034642349172781,0.0031862759467554194
189,-0.038999037581547276,-0.09691421798808275,0.0189161428249882
190,-0.03329019811557108,-0.09112099396183582,0.024540597730693656
191,-0.03396695901291027,-0.0876959064301876,0.019761988404367062
192,0.0012124156678018395,-0.0900927444384467,0.09251757577405037
193,0.0029676123494641223,-0.061081584444547476,0.06701680914347571
194,-0.010812618022011188,-0.0808456429586307,0.05922040691460833
195,-0.01235120737307581,-0.07356947155187243,0.04886705680572081
196,0.013393957493289407,-0.03113477310583048,0.057922688092409295
197,0.010640730115574745,-0.027389705230497455,0.048671165461646945
198,0.011232149213043593,-0.029071588831353294,0.05153588725744048
199,0.012374428255502501,-0.026908333950584944,0.051657190461589945
200,0.013659117945514068,-0.03334787981612781,0.060666115707155945
201,0.014922845497065115,-0.029823647420021776,0.05966933841415201
202,0.02002669425263079,-0.02639016355920238,0.06644355206446395
203,0.009698188754469067,-0.024911040547198567,0.0443074180561367
204,0.006015738128874695,-0.019684885354058733,0.03171636161180812
205,0.009169891334075878,-0.02691053542476205,0.045250318092913806
206,0.001684526606093556,-0.016533815286633873,0.019902868498820985
207,0.0010332058897591923,-0.02119696520428186,0.023263376983800245
208,0.0033755240388404495,-0.024976642877333848,0.03172769095501475
209,-0.00017924193734242255,-0.017312159624111517,0.01695367574942667
210,-0.0006298530411724401,-0.015555618603472742,0.014295912521127862
211,0.0009500912053023169,-0.013781514862739576,0.01568169727334421
212,0.0011105916226416268,-0.015729886693280837,0.01795106993856409
213,0.0022338981690388227,-0.021290517935313412,0.025758314273391057
214,0.003948798706673307,-0.012875199803808673,0.020772797217155286
215,0.005566909606293469,-0.011652680219188107,0.022786499431775045
