t,date,y,yh,yh_b,hi_flag_elevated_wid,hi_flag_skew_up,hi_flag_skew_down,loss_diff_flag_elevated_wid,loss_diff_flag_skew_up,loss_diff_flag_skew_down
107,2020-06-10,-0.15000000000000002,-0.22770841130635727,-0.12756086132520364,False,False,False,-0.0055350822432912485,-0.0055350822432912485,-0.0055350822432912485
108,2020-07-29,-0.16999999999999998,-0.17779249730610375,-0.11208698806620179,True,False,True,0.0032931939369786178,0.0032931939369786178,0.0032931939369786178
109,2020-09-16,-0.31,-0.18141754621733067,-0.08485591514296642,False,False,True,0.03415641152533884,0.03415641152533884,0.03415641152533884
110,2020-11-05,-0.05999999999999997,-0.25887924510005866,-0.04865085566822089,True,False,True,-0.03942415105450567,-0.03942415105450567,-0.03942415105450567
111,2020-12-16,-0.13,-0.11364713747960457,-0.0020057403043275378,False,False,True,0.01611511440243229,0.01611511440243229,0.01611511440243229
112,2021-01-27,-1.1400000000000001,-0.21593571387022067,-0.09304326598920407,False,False,False,0.24222359799001403,0.24222359799001403,0.24222359799001403
113,2021-03-17,-0.24,-0.21973788014600534,0.03387766985550961,True,True,False,0.07459842454450587,0.07459842454450587,0.07459842454450587
114,2021-04-28,-0.030000000000000027,-0.0010647722583166461,0.048713191432608216,True,True,True,0.005358519101043348,0.005358519101043348,0.005358519101043348
115,2021-06-16,-0.05999999999999983,-0.14619452511386669,0.05191922411755944,True,True,True,0.00509641656747144,0.00509641656747144,0.00509641656747144
116,2021-07-28,0.07999999999999985,0.052900872572723995,0.0363948778826196,False,True,False,0.0011670439675519097,0.0011670439675519097,0.0011670439675519097
117,2021-09-22,-0.040000000000000036,0.03263040459449018,0.04619756321566775,False,True,False,0.0021548442327597,0.0021548442327597,0.0021548442327597
118,2021-11-03,0.7000000000000002,0.15196028300199266,0.09177599356874061,True,True,False,0.0695889105920367,0.0695889105920367,0.0695889105920367
119,2021-12-15,0.95,0.3109382336963228,0.19295887261386255,False,True,False,0.16471132740289823,0.16471132740289823,0.16471132740289823
120,2022-01-26,0.41000000000000003,0.4023690801898494,0.265710768130016,False,False,False,0.020761151496481074,0.020761151496481074,0.020761151496481074
121,2022-03-16,0.56,0.7074652582818601,0.3657304340227401,True,True,False,0.015994661864857262,0.015994661864857262,0.015994661864857262
122,2022-05-04,0.43999999999999995,0.5488715275374004,0.2839515899899695,True,True,False,0.01249809675833162,0.01249809675833162,0.01249809675833162
123,2022-06-15,0.47,0.3339020584537944,0.2304475014979701,True,True,False,0.03886274984545063,0.03886274984545063,0.03886274984545063
124,2022-07-27,0.8800000000000001,0.36502322327927306,0.2255721532239797,False,True,True,0.16307472607422885,0.16307472607422885,0.16307472607422885
125,2022-09-21,1.2199999999999998,0.4556112012885017,0.23126658383451923,True,True,False,0.3933035326466541,0.3933035326466541,0.3933035326466541
126,2022-11-02,0.31999999999999984,0.4846941791522907,0.2729235047180936,True,True,True,-0.024907976238619532,-0.024907976238619532,-0.024907976238619532
127,2022-12-14,0.47000000000000064,0.4208814884091117,0.21562229434137323,True,True,True,0.062295388955242975,0.062295388955242975,0.062295388955242975
128,2023-02-01,0.08000000000000007,0.2785394432206577,0.17759548989294738,False,True,False,-0.029893030866924363,-0.029893030866924363,-0.029893030866924363
