date,meeting_date,doc_type,speaker_types,gardner_inf,gardner_labor,gardner_out,gardner_fin,gardner_mp,gardner_total,gardner_inf_consensus,gardner_labor_consensus,gardner_out_consensus,gardner_fin_consensus,gardner_mp_consensus
2008-12-16,2008-12-16,speech,{'unknown'},2.1907009741456537e-06,-4.3814019482913074e-07,4.819542143120438e-06,-2.124979944921284e-05,2.1907009741456537e-07,-1.4458626429361313e-05,1.2967208523086818e-05,7.261636772928618e-06,6.051363977440515e-06,3.6308183864643094e-05,3.6308183864643094e-05
2009-01-28,2009-01-28,speech,{'unknown'},-5.0247411594444994e-06,0.0,1.2561852898611246e-05,-4.0197929275555996e-05,0.0,-3.266081753638925e-05,9.240436148586214e-05,0.0,4.8633874466243225e-05,0.00018480872297172427,0.0
2009-03-18,2009-03-18,speech,{'unknown'},3.055166232103122e-06,6.110332464206243e-07,2.7496496088928094e-06,-6.415849087416556e-06,0.0,0.0,1.7446830783188234e-05,1.1340440009072351e-05,5.302023900345515e-06,4.5361760036289406e-05,0.0
2009-04-29,2009-04-29,speech,{'unknown'},0.0,-1.1386349844160669e-06,-3.7412292345099344e-06,-1.6103551922455806e-05,8.133107031543335e-07,-2.0170105438227473e-05,0.0,9.93275524697796e-06,2.820411983709791e-06,2.9798265740933878e-05,2.9798265740933878e-05
2009-06-24,2009-06-24,speech,{'unknown'},1.3587629638160093e-06,0.0,6.793814819080046e-06,-5.7747425962180406e-06,1.6984537047700117e-07,2.547680557155017e-06,1.5334600993682144e-05,0.0,7.96602649022449e-06,3.066920198736429e-05,3.066920198736429e-05
2009-08-12,2009-08-12,speech,{'unknown'},0.0,0.0,-2.265075504596032e-06,-9.060302018384128e-06,0.0,-1.132537752298016e-05,0.0,0.0,1.0145486273157073e-05,0.00017247326664367022,0.0
2009-09-23,2009-09-23,speech,{'unknown'},5.362138813814738e-07,-5.362138813814738e-07,1.0188063746248e-05,-1.126049150901095e-05,0.0,-1.0724277627629484e-06,3.882484945664623e-06,2.2000748025432864e-05,2.5592706886728024e-05,6.60022440762986e-05,0.0
2009-11-04,2009-11-04,speech,{'unknown'},-1.1198202365589668e-06,-4.4792809462358675e-07,8.510633797848148e-06,-1.2989914744084016e-05,2.2396404731179338e-07,-5.823065230106628e-06,3.759240212442183e-06,5.262936297419056e-06,7.864837388277915e-06,3.684055408193339e-05,3.684055408193339e-05
2009-12-16,2009-12-16,speech,{'unknown'},3.112380402947123e-07,0.0,3.1123804029471233e-06,-7.469712967073096e-06,3.112380402947123e-07,-3.734856483536548e-06,1.0205852035557189e-06,0.0,4.783993141667432e-06,4.592633416000735e-05,4.592633416000735e-05
2010-01-27,2010-01-27,speech,{'unknown'},-3.647665696364197e-06,1.2766829937274688e-05,6.383414968637344e-05,-2.188599417818518e-05,0.0,5.106731974909875e-05,9.329750709061053e-06,8.03793907242183e-05,5.49964252323599e-05,0.00014927601134497685,0.0
2010-03-16,2010-03-16,speech,{'unknown'},-7.599656819838698e-07,7.599656819838698e-07,2.2798970459516095e-06,-5.319759773887088e-06,0.0,-3.039862727935479e-06,1.18968306843057e-05,8.327781479013991e-05,9.993337774816788e-06,8.327781479013991e-05,0.0
2010-04-28,2010-04-28,speech,{'unknown'},5.502500602827691e-06,-3.4390628767673066e-07,8.597657191918269e-06,-4.470781739797499e-06,3.4390628767673066e-07,9.629376054948461e-06,1.6491955018192686e-05,2.8111286962828446e-06,1.1203773789533077e-05,2.8713671683460483e-05,3.092241565911129e-05
2010-06-23,2010-06-23,speech,{'unknown'},3.2669581983984752e-06,5.158355050102856e-07,1.1348381110226282e-05,-5.158355050102856e-06,3.438903366735237e-07,1.0316710100205713e-05,9.325519529601161e-06,8.4331253162422e-06,1.672800267648043e-05,3.0921459492888065e-05,3.0921459492888065e-05
2010-08-10,2010-08-10,speech,{'unknown'},-3.409428359186349e-06,-2.727542687349079e-06,1.2955827764908125e-05,-8.182628062047237e-06,0.0,-1.3637713436745388e-06,5.533666828987561e-05,2.582377853527528e-05,1.549426712116517e-05,5.164755707055056e-05,0.0
2010-09-21,2010-09-21,speech,{'unknown'},5.455486975806838e-06,-7.793552822581198e-06,4.676131693548719e-06,-1.5587105645162395e-06,1.5587105645162395e-06,2.338065846774359e-06,2.3712737127371277e-05,5.2930216802168025e-05,7.259001161440186e-06,1.6937669376693767e-05,8.468834688346883e-05
2010-11-03,2010-11-03,speech,{'unknown'},5.599198633872627e-06,-3.421732498477716e-06,9.331997723121044e-06,-2.7995993169363135e-06,3.1106659077070147e-07,9.020931132350341e-06,1.1167167534810543e-05,2.4047815802475614e-05,1.2752629592221916e-05,4.5909466531998895e-05,4.5909466531998895e-05
2010-12-14,2010-12-14,speech,{'unknown'},4.276998003795642e-06,-2.5661988022773853e-06,3.1649785228087753e-05,-8.98169580797085e-06,4.276998003795642e-07,2.4806588422014726e-05,2.3652739933393887e-05,1.8922191946715107e-05,2.4422829140527637e-05,5.676657584014532e-05,5.676657584014532e-05
2011-01-26,2011-01-26,speech,{'unknown'},4.31105681292873e-06,-1.724422725171492e-05,3.0177397690501105e-05,-7.544349422625276e-06,1.0777642032321825e-06,1.0777642032321822e-05,1.1065190570244596e-05,4.94679107846229e-05,2.8856281291030026e-05,0.00010511931041732366,0.00010511931041732366
2011-03-15,2011-03-15,speech,{'unknown'},1.3669896611678312e-06,-1.7087370764597893e-06,2.323882423985313e-05,-5.809706059963283e-06,0.0,1.708737076459789e-05,7.520097460463088e-06,1.2863324603423702e-05,2.215922051683123e-05,4.373530365164059e-05,0.0
2011-04-27,2011-04-27,speech,{'unknown'},7.292684445678623e-06,-1.7679235019826966e-06,6.850703570182949e-06,-9.281598385409158e-06,0.0,3.093866128469718e-06,1.2697142373442195e-05,1.6245502026626377e-05,9.064990130857518e-06,3.655237955990935e-05,0.0
2011-06-22,2011-06-22,speech,{'unknown'},3.008344293200444e-06,-3.760430366500555e-07,1.8050065759202664e-05,-4.387168760917314e-06,0.0,1.6295198254835738e-05,1.036400098803476e-05,2.423838940750065e-06,1.3259824793515061e-05,2.5046335721084007e-05,0.0
2011-08-09,2011-08-09,speech,{'unknown'},-5.488215946591149e-06,1.0976431893182298e-05,7.683502325227609e-05,-5.488215946591149e-06,0.0,7.683502325227609e-05,4.444839541292559e-05,0.00015556938394523958,0.00012811596324902082,0.00031113876789047915,0.0
2011-09-21,2011-09-21,speech,{'unknown'},5.915350733084048e-07,2.9576753665420243e-06,2.7802148445495028e-05,-1.4788376832710121e-05,5.915350733084048e-07,1.715451712594374e-05,3.0637911965023757e-06,2.0725646329280778e-05,3.639514597163812e-05,5.338424054511716e-05,7.046719751955464e-05
2011-11-02,2011-11-02,speech,{'unknown'},2.46807527289598e-06,-2.46807527289598e-06,1.6453835152639868e-05,-2.8794211517119766e-06,0.0,1.357441400092789e-05,8.362369337979094e-06,4.181184668989547e-06,1.1614401858304297e-05,3.484320557491289e-05,0.0
2011-12-13,2011-12-13,speech,{'unknown'},3.3483454144158525e-06,2.092715884009908e-06,1.297483848086143e-05,-1.6323183895277284e-05,0.0,2.0927158840099055e-06,5.595344673231871e-05,3.108524818462151e-05,1.365792794253449e-05,5.595344673231871e-05,0.0
2012-01-25,2012-01-25,speech,{'unknown'},2.464981135144304e-06,1.9719849081154428e-06,6.4089509513751895e-06,-1.2817901902750379e-05,4.929962270288607e-07,-1.4789886810865831e-06,3.467021689687691e-05,1.7830397261250978e-05,8.723473928891609e-06,6.240639041437844e-05,6.240639041437844e-05
2012-03-13,2012-03-13,speech,{'unknown'},1.711082288782611e-05,-1.9012025430917903e-06,3.8024050861835807e-06,-5.703607629275371e-06,0.0,1.3308417801642533e-05,7.269555103227682e-05,1.70520428347316e-05,6.975835705117473e-06,0.0001534683855125844,0.0
2012-04-25,2012-04-25,speech,{'unknown'},-2.4649105578787865e-07,9.859642231515146e-07,-6.162276394696965e-06,-7.641222729424238e-06,0.0,-1.3064025956757567e-05,1.3104270681815202e-05,1.2096249860137112e-06,7.738742528631025e-06,3.931281204544561e-05,0.0
2012-06-20,2012-06-20,speech,{'unknown'},-1.3459318367385517e-06,-6.729659183692759e-07,3.701312551031017e-06,-1.3795801326570157e-05,0.0,-1.2113386530646966e-05,5.348823526265398e-06,2.674411763132699e-06,5.574037148423941e-06,4.813941173638858e-05,0.0
2012-08-01,2012-08-01,speech,{'unknown'},1.4762673099208155e-06,0.0,2.657281157857468e-05,-7.381336549604078e-06,0.0,2.0667742338891418e-05,4.3217079389774834e-05,0.0,7.77907429015947e-05,0.0001296512381693245,0.0
2012-09-13,2012-09-13,speech,{'unknown'},4.264386202111137e-06,5.685848269481518e-06,3.2693627549518725e-05,-1.705754480844455e-05,1.4214620673703796e-06,2.7007779280037205e-05,5.418096442116669e-05,3.1605562579013905e-05,5.701395602488783e-05,0.00012642225031605562,0.00012642225031605562
2012-10-24,2012-10-24,speech,{'unknown'},-6.120741296715493e-07,-1.2241482593430986e-06,1.1323371398923665e-05,-1.3159593787938312e-05,3.0603706483577466e-07,-3.3664077131935208e-06,4.541326067211626e-06,1.2975217334890358e-05,1.1127752615021865e-05,4.541326067211626e-05,4.541326067211626e-05
2012-12-12,2012-12-12,speech,{'unknown'},2.4251086164785522e-06,-8.083695388261841e-07,4.04184769413092e-06,-5.254402002370196e-06,2.0209238470654602e-07,6.062771541196387e-07,5.90359430499936e-06,3.130693949620873e-06,4.8503709078633246e-06,3.4437633445829606e-05,3.4437633445829606e-05
2013-01-30,2013-01-30,speech,{'unknown'},6.866338414317757e-06,0.0,9.61287378004486e-06,-1.922574756008972e-05,0.0,-2.746535365727104e-06,0.00012354830738818879,0.0,6.652601167056319e-05,0.00012354830738818879,0.0
2013-03-20,2013-03-20,speech,{'unknown'},-5.967934580251927e-07,3.3818295954760925e-06,2.188242679425707e-06,-3.8791574771637525e-06,9.946557633753213e-07,2.088777103088175e-06,2.1467519642780476e-06,7.298956678545361e-06,2.3151246673586785e-06,2.1467519642780472e-05,2.1467519642780472e-05
2013-05-01,2013-05-01,speech,{'unknown'},1.0576354185919924e-06,1.9037437534655864e-06,7.6149750138623454e-06,-3.595960423212774e-06,0.0,6.98039376270715e-06,8.452685249049918e-06,5.809300043892489e-06,6.2041068429919786e-06,3.5501278046009656e-05,0.0
2013-06-19,2013-06-19,speech,{'unknown'},-5.081275112140085e-07,1.016255022428017e-06,6.859721401389114e-06,-1.2449124024743208e-05,0.0,-5.081275112140086e-06,3.646720322078339e-06,7.293440644156678e-06,1.0940160966235016e-05,4.011392354286173e-05,0.0
2013-07-31,2013-07-31,speech,{'unknown'},3.752345561601809e-06,-4.690431952002261e-07,5.628518342402714e-06,-5.1594751472024875e-06,9.380863904004522e-07,4.690431952002261e-06,7.546030787805614e-06,2.6247063609758656e-06,6.9655668810513364e-06,6.036824630244491e-05,6.036824630244491e-05
2013-10-30,2013-10-30,speech,{'unknown'},2.428807203020593e-06,2.6986746700228814e-07,6.206951741052626e-06,-8.63575894407322e-06,1.0794698680091526e-06,1.349337335011441e-06,1.2960194921331616e-05,3.2123560061420248e-06,1.5245943584705798e-05,4.176062807984632e-05,4.176062807984632e-05
2013-12-18,2013-12-18,speech,{'unknown'},1.975791548165823e-06,8.78129576962588e-07,1.3611008442920112e-05,-4.1711154905722926e-06,2.19532394240647e-07,1.2513346471716877e-05,1.2130475393330664e-05,8.086983595553775e-06,1.8195713089996e-05,3.6391426179992e-05,3.6391426179992e-05
2014-01-29,2014-01-29,speech,{'unknown'},-2.329255456766433e-06,-9.317021827065733e-06,1.39755327405986e-05,-1.6304788197365034e-05,6.9877663702993e-06,-6.987766370299302e-06,2.510229183924492e-05,5.857201429157148e-05,4.054985604801103e-05,0.00017571604287471446,0.00017571604287471446
2014-03-19,2014-03-19,speech,{'unknown'},5.156938706849398e-06,1.2892346767123495e-06,-7.735408060274096e-06,-6.446173383561748e-06,0.0,-7.735408060274096e-06,0.00011845534233593936,1.692219176227705e-05,4.4420753375977256e-05,0.00011845534233593936,0.0
